,city_state,population,lat,lng
17652,"Bloomington, IN",114959.0,39.1637,-86.5257
4224,"Texas City, TX",114546.0,29.4128,-94.9658
13433,"Temecula, CA",114327.0,33.4928,-117.1315
9824,"Utica, NY",114318.0,43.0961,-75.226
24756,"St. Cloud, MN",114225.0,45.5339,-94.1718
22811,"St. George, UT",113906.0,37.077,-113.577
22667,"West Jordan, UT",113905.0,40.6024,-112.0008
12933,"Costa Mesa, CA",113825.0,33.6667,-117.9135
2102,"Miami Gardens, FL",113750.0,25.9433,-80.2426
19308,"Cambridge, MA",113630.0,42.3759,-71.1185
2125,"Brandon, FL",113124.0,27.9367,-82.3
13531,"Downey, CA",113092.0,33.9379,-118.1312
19910,"Coeur d'Alene, ID",112935.0,47.704,-116.7933
12827,"Westminster, CO",112812.0,39.8837,-105.0624
16087,"Elgin, IL",112456.0,42.0385,-88.3229
13116,"El Centro, CA",112145.0,32.7867,-115.5586
18224,"Waterloo, IA",112060.0,42.492,-92.3522
19273,"Lowell, MA",111346.0,42.6389,-71.3217
28312,"Gresham, OR",111053.0,45.5023,-122.4413
27241,"North Charleston, SC",110861.0,32.9067,-80.0722
14255,"San Buenaventura, CA",110790.0,34.2741,-119.2314
12858,"Inglewood, CA",110598.0,33.9566,-118.3444
2903,"Pompano Beach, FL",110473.0,26.2428,-80.1312
12677,"Centennial, CO",110250.0,39.5926,-104.8674
2892,"West Palm Beach, FL",110222.0,26.7469,-80.1316
109,"Everett, WA",110079.0,47.9524,-122.167
4102,"Santa Fe, NM",110078.0,35.6619,-105.9819
13971,"Richmond, CA",110040.0,37.9477,-122.339
13734,"Clovis, CA",109691.0,36.8277,-119.6838
5595,"The Woodlands, TX",109608.0,30.1738,-95.5134
11610,"Pottstown, PA",109437.0,40.2507,-75.6444
7186,"Jacksonville, NC",108872.0,34.7287,-77.394
20716,"Broken Arrow, OK",108303.0,36.0365,-95.7809
15459,"Burlington, VT",108277.0,44.4877,-73.2314
13015,"West Covina, CA",107598.0,34.0555,-117.9112
13528,"Turlock, CA",107208.0,37.5053,-120.8587
13463,"Daly City, CA",107074.0,37.6863,-122.4684
1340,"Eau Claire, WI",107068.0,44.82,-91.4951
28136,"Hillsboro, OR",106894.0,45.5272,-122.936
17476,"Sandy Springs, GA",106739.0,33.9366,-84.3703
18910,"Sioux City, IA",106279.0,42.4959,-96.3901
13884,"Chico, CA",106268.0,39.7575,-121.8152
13611,"Norwalk, CA",106084.0,33.9069,-118.0829
20259,"Salisbury, MD",106034.0,38.3755,-75.5867
13787,"Jurupa Valley, CA",106028.0,34.001,-117.4706
4903,"Lewisville, TX",106021.0,33.0452,-96.9823
12624,"Highlands Ranch, CO",105264.0,39.5419,-104.9708
2788,"Davie, FL",105149.0,26.0789,-80.287
5724,"League City, TX",104903.0,29.4874,-95.1087
13146,"Burbank, CA",104834.0,34.1879,-118.3235
12993,"San Mateo, CA",104748.0,37.5522,-122.3122
2304,"Spring Hill, FL",104722.0,28.4797,-82.53
13885,"El Cajon, CA",103894.0,32.8017,-116.9604
